Place	District	State/Union
Gundlupet	Chamarajanagar	Karnataka
Gurmatkal	Gulbarga	Karnataka
Haliyal	Uttara Kannada	Karnataka
Hangal	Haveri	Karnataka
Harihar	Davanagere	Karnataka
Harpanahalli	Davanagere	Karnataka
Hassan	Hassan	Karnataka
Hatti	Raichur	Karnataka
Hatti Gold Mines	Raichur	Karnataka
Haveri	Haveri	Karnataka
Hebbagodi	Bangalore	Karnataka
Hebbalu	Mysore	Karnataka
Heggadadevanakote	Mysore	Karnataka
Herohalli	Bangalore	Karnataka
Hindalgi	Belgaum	Karnataka
Hirekerur	Haveri	Karnataka
Hiriyur	Chitradurga	Karnataka
Holalkere	Chitradurga	Karnataka
Holenarsipur	Hassan	Karnataka
Homnabad	Bidar	Karnataka
Honavar	Uttara Kannada	Karnataka
Honnali	Davanagere	Karnataka
Hoovina Hadagalli	Bellary	Karnataka
Hosanagara	Shimoga	Karnataka
Hosdurga	Chitradurga	Karnataka
Hoskote	Bangalore Rural	Karnataka
Hospet	Bellary	Karnataka
Hubli-Dharwad	Dharwad	Karnataka
Hukeri	Belgaum	Karnataka
Hunasamaranahalli	Bangalore	Karnataka
Hungund	Bagalkot	Karnataka
Hunsur	Mysore	Karnataka
Ilkal	Bagalkot	Karnataka
Jagalur	Davanagere	Karnataka
Jamkhandi	Bagalkot	Karnataka
Jevargi	Gulbarga	Karnataka
Jog Falls	Shimoga	Karnataka
Kadur	Chikmagalur	Karnataka
Kalghatgi	Dharwad	Karnataka
Kamalapuram	Bellary	Karnataka
Kampli	Bellary	Karnataka
Kanakapura	Bangalore Rural	Karnataka
Kangrali (BK)	Belgaum	Karnataka
Kangrali (KH)	Belgaum	Karnataka
Kannur	Dakshina Kannada	Karnataka
Karkal	Udupi	Karnataka
Karwar	Uttara Kannada	Karnataka
Kengeri	Bangalore	Karnataka
Kerur	Bagalkot	Karnataka
Khanapur	Belgaum	Karnataka
Kodigenahalli	Bangalore	Karnataka
Kodiyal	Haveri	Karnataka
Kolar	Kolar	Karnataka
Kollegal	Chamarajanagar	Karnataka
Konanakunte	Bangalore	Karnataka
Konnur	Belgaum	Karnataka
Koppa	Chikmagalur	Karnataka
Koppal	Koppal	Karnataka
Koratagere	Tumkur	Karnataka
Kotekara	Dakshina Kannada	Karnataka
Kothnur	Bangalore	Karnataka
Kotturu	Bellary	Karnataka
Krishnarajanagar	Mysore	Karnataka
Krishnarajapura	Bangalore	Karnataka
Krishnarajasagara	Mandya	Karnataka
Krishnarajpet	Mandya	Karnataka
Kudchi	Belgaum	Karnataka
Kudligi	Bellary	Karnataka
Kudremukh	Chikmagalur	Karnataka
Kumta	Uttara Kannada	Karnataka
Kundapura	Udupi	Karnataka
Kundgol	Dharwad	Karnataka
Kunigal	Tumkur	Karnataka
Kurgunta	Gulbarga	Karnataka
Kushalnagar	Kodagu	Karnataka
Kushtagi	Koppal	Karnataka
Lakshmeshwar	Gadag	Karnataka
Lingsugur	Raichur	Karnataka
Londa	Belgaum	Karnataka
Maddur	Mandya	Karnataka
Madhugiri	Tumkur	Karnataka
Madikeri	Kodagu	Karnataka
Magadi	Bangalore Rural	Karnataka
Mahadevapura	Bangalore	Karnataka
Mahalingpur	Bagalkot	Karnataka
Malavalli	Mandya	Karnataka
Mallar	Udupi	Karnataka
Malur	Kolar	Karnataka
Mandya	Mandya	Karnataka
Mangalore	Dakshina Kannada	Karnataka
Manvi	Raichur	Karnataka
Molakalmuru	Chitradurga	Karnataka
Mudalgi	Belgaum	Karnataka
Mudbidri	Dakshina Kannada	Karnataka
Muddebihal	Bijapur	Karnataka
Mudgal	Raichur	Karnataka
Mudhol	Bagalkot	Karnataka
Mudigere	Chikmagalur	Karnataka
Mudushedde	Dakshina Kannada	Karnataka
Mulbagal	Kolar	Karnataka
Mulgund	Gadag	Karnataka
Mulki	Dakshina Kannada	Karnataka
Mulur	Dakshina Kannada	Karnataka
Mundargi	Gadag	Karnataka
Mundgod	Uttara Kannada	Karnataka
Munirabad Project Area	Koppal	Karnataka
Munnur	Dakshina Kannada	Karnataka
Mysore	Mysore	Karnataka
Nagamangala	Mandya	Karnataka
Nanjangud	Mysore	Karnataka
Narasimharajapura	Chikmagalur	Karnataka
Naregal	Gadag	Karnataka
Nargund	Gadag	Karnataka
Navalgund	Dharwad	Karnataka
Nelmangala	Bangalore Rural	Karnataka
Nipani	Belgaum	Karnataka
Pandavapura	Mandya	Karnataka
Pattanagere	Bangalore	Karnataka
Pavagada	Tumkur	Karnataka
Piriyapatna	Mysore	Karnataka
Pudu	Dakshina Kannada	Karnataka
Puttur	Dakshina Kannada	Karnataka
Rabkavi Banhatti	Bagalkot	Karnataka
Raichur	Raichur	Karnataka
Ramanagaram	Bangalore Rural	Karnataka
Ramdurg	Belgaum	Karnataka
Ranibennur	Haveri	Karnataka
Raybag	Belgaum	Karnataka
Robertson Pet	Kolar	Karnataka
Ron	Gadag	Karnataka
Sadalgi	Belgaum	Karnataka
Sagar	Shimoga	Karnataka
Sakleshpur	Hassan	Karnataka
Saligram	Udupi	Karnataka
Sandur	Bellary	Karnataka
Sankeshwar	Belgaum	Karnataka
Sathyamangala	Hassan	Karnataka
Saundatti-Yellamma	Belgaum	Karnataka
Savanur	Haveri	Karnataka
Sedam	Gulbarga	Karnataka
Shahabad	Gulbarga	Karnataka
Shahabad ACC	Gulbarga	Karnataka
Shahpur	Gulbarga	Karnataka
Shaktinagar	Raichur	Karnataka
Shiggaon	Haveri	Karnataka
Shikarpur	Shimoga	Karnataka
Shimoga	Shimoga	Karnataka
Shirhatti	Gadag	Karnataka
Shorapur	Gulbarga	Karnataka
Shrirangapattana	Mandya	Karnataka
Siddapur	Uttara Kannada	Karnataka
Sidlaghatta	Kolar	Karnataka
Sindgi	Bijapur	Karnataka
Sindhnur	Raichur	Karnataka
Sira	Tumkur	Karnataka
Siralkoppa	Shimoga	Karnataka
Sirsi	Uttara Kannada	Karnataka
Siruguppa	Bellary	Karnataka
Someshwar	Dakshina Kannada	Karnataka
Somvarpet	Kodagu	Karnataka
Sorab	Shimoga	Karnataka
Sringeri	Chikmagalur	Karnataka
Srinivaspur	Kolar	Karnataka
Sulya	Dakshina Kannada	Karnataka
Talikota	Bijapur	Karnataka
Tarikere	Chikmagalur	Karnataka
Tekkalakota	Bellary	Karnataka
Terdal	Bagalkot	Karnataka
Thokur-62	Dakshina Kannada	Karnataka
Thumbe	Dakshina Kannada	Karnataka
Tiptur	Tumkur	Karnataka
Tirthahalli	Shimoga	Karnataka
Tirumakudal-Narsipur	Mysore	Karnataka
Tumkur	Tumkur	Karnataka
Turuvekere	Tumkur	Karnataka
Udupi	Udupi	Karnataka
Ullal	Dakshina Kannada	Karnataka
Uttarahalli	Bangalore	Karnataka
Venkatapura	Uttara Kannada	Karnataka
Vijayapura	Bangalore Rural	Karnataka
Virajpet	Kodagu	Karnataka
Wadi	Gulbarga	Karnataka
Wadi ACC	Gulbarga	Karnataka
Yadgir	Gulbarga	Karnataka
Yelahanka	Bangalore	Karnataka
Yelandur	Chamarajanagar	Karnataka
Yelbarga	Koppal	Karnataka
Yellapur	Uttara Kannada	Karnataka
Yenagudde	Udupi	Karnataka
Adoor	Pathanamthitta	Kerala
Akathiyoor	Thrissur	Kerala
Alappuzha	Alappuzha	Kerala
Aluva	Ernakulam	Kerala
Ancharakandy	Kannur	Kerala
Angamaly	Ernakulam	Kerala
Arookutty	Alappuzha	Kerala
Aroor	Alappuzha	Kerala
Attingal	Thiruvananthapuram	Kerala
Avinissery	Thrissur	Kerala
Azhikode North	Kannur	Kerala
Azhikode South	Kannur	Kerala
Bangramanjeshwar	Kasaragod	Kerala
Beypore	Kozhikode	Kerala
Brahmakulam	Thrissur	Kerala
Chala	Kannur	Kerala
Chalakudy	Thrissur	Kerala
Changanassery	Kottayam	Kerala
Chavakkad	Thrissur	Kerala
Chelora	Kannur	Kerala
Chendamangalam	Ernakulam	Kerala
Chengamanad	Ernakulam	Kerala
Chengannur	Alappuzha	Kerala
Cheranallur	Ernakulam	Kerala
Cherthala	Alappuzha	Kerala
Cheruthazham	Kannur	Kerala
Cheruvannur	Kozhikode	Kerala
Chevvoor	Thrissur	Kerala
Chirakkal	Kannur	Kerala
Chittur-Thathamangalam	Palakkad	Kerala
Chockli	Kannur	Kerala
Choornikkara	Ernakulam	Kerala
Chowwara	Ernakulam	Kerala
Dharmadom	Kannur	Kerala
Edathala	Ernakulam	Kerala
Elayavoor	Kannur	Kerala
Eloor	Ernakulam	Kerala
Eranholi	Kannur	Kerala
Erattupetta	Kottayam	Kerala
Feroke	Kozhikode	Kerala
Guruvayoor	Thrissur	Kerala
Hosabettu	Kasaragod	Kerala
Idukki Township	Idukki	Kerala
Iringaprom	Thrissur	Kerala
Irinjalakuda	Thrissur	Kerala
Iriveri	Kannur	Kerala
Kadachira	Kannur	Kerala
Kadamakkudy	Ernakulam	Kerala
Kadirur	Kannur	Kerala
Kadungalloor	Ernakulam	Kerala
Kalamassery	Ernakulam	Kerala
Kalliasseri	Kannur	Kerala
Kalpetta	Wayanad	Kerala
Kanhangad	Kasaragod	Kerala
Kanhirode	Kannur	Kerala
Kanjikkuzhi	Alappuzha	Kerala
Kannadiparamba	Kannur	Kerala
Kannapuram	Kannur	Kerala
Kannur	Kannur	Kerala
Kannur Cantonment	Kannur	Kerala
Karuvanthuruthy	Kozhikode	Kerala
Kasaragod	Kasaragod	Kerala
Kayamkulam	Alappuzha	Kerala
Kochi	Ernakulam	Kerala
Kodungallur	Thrissur	Kerala
Kokkothamangalam	Alappuzha	Kerala
Kolazhy	Thrissur	Kerala
Kollam	Kollam	Kerala
Komalapuram	Alappuzha	Kerala
Koothuparamba	Kannur	Kerala
Koratty	Thrissur	Kerala
Kothamangalam	Ernakulam	Kerala
Kottayam	Kottayam	Kerala
Kottayam-Malabar	Kannur	Kerala
Kottuvally	Ernakulam	Kerala
Kozhikode	Kozhikode	Kerala
Kudlu	Kasaragod	Kerala
Kunnamkulam	Thrissur	Kerala
Kureekkad	Ernakulam	Kerala
Malappuram	Malappuram	Kerala
Manjeri	Malappuram	Kerala
Manjeshwar	Kasaragod	Kerala
Maradu	Ernakulam	Kerala
Marathakkara	Thrissur	Kerala
Mattannur	Kannur	Kerala
Mavelikkara	Alappuzha	Kerala
Mavilayi	Kannur	Kerala
Mavoor	Kozhikode	Kerala
Methala	Thrissur	Kerala
Muhamma	Alappuzha	Kerala
Mulavukad	Ernakulam	Kerala
Munderi	Kannur	Kerala
Muvattupuzha	Ernakulam	Kerala
Muzhappilangad	Kannur	Kerala
Nadathara	Thrissur	Kerala
Narath	Kannur	Kerala
Nedumangad	Thiruvananthapuram	Kerala
Nenmenikkara	Thrissur	Kerala
New Mahe	Kannur	Kerala
Neyyattinkara	Thiruvananthapuram	Kerala
Olavanna	Kozhikode	Kerala
Ottappalam	Palakkad	Kerala
Paduvilayi	Kannur	Kerala
Palai	Kottayam	Kerala
Palakkad	Palakkad	Kerala
Palayad	Kozhikode	Kerala
Palissery	Thrissur	Kerala
Pallikkunnu	Kannur	Kerala
Paluvai	Thrissur	Kerala
Panniyannur	Kannur	Kerala
Panoor	Kannur	Kerala
Pantheeramkavu	Kozhikode	Kerala
Pappinisseri	Kannur	Kerala
Paravoor	Kollam	Kerala
Paravur	Ernakulam	Kerala
Pathanamthitta	Pathanamthitta	Kerala
Pathiriyad	Kannur	Kerala
Pattiom	Kannur	Kerala
Pavaratty	Thrissur	Kerala
Payyannur	Kannur	Kerala
Perakam	Thrissur	Kerala
Peralasseri	Kannur	Kerala
Peringathur	Kannur	Kerala
Perinthalmanna	Malappuram	Kerala
Perumbaikad	Kottayam	Kerala
Perumbavoor	Ernakulam	Kerala
Pinarayi	Kannur	Kerala
Ponnani	Malappuram	Kerala
Pottore	Thrissur	Kerala
Punalur	Kollam	Kerala
Puranattukara	Thrissur	Kerala
Puthukkad	Thrissur	Kerala
Puthunagaram	Palakkad	Kerala
Puzhathi	Kannur	Kerala
Quilandy	Kozhikode	Kerala
Ramanattukara	Kozhikode	Kerala
Shoranur	Palakkad	Kerala
Taliparamba	Kannur	Kerala
Thaikkad	Thrissur	Kerala
Thalassery	Kannur	Kerala
Thiruvalla	Pathanamthitta	Kerala
Thiruvankulam	Ernakulam	Kerala
Thodupuzha	Idukki	Kerala
Thottada	Kannur	Kerala
Thrippunithura	Ernakulam	Kerala
Thrissur	Thrissur	Kerala
Tirur	Malappuram	Kerala
Trivandrum	Thiruvananthapuram	Kerala
Udma	Kasaragod	Kerala
Vadakara	Kozhikode	Kerala
Vaikom	Kottayam	Kerala
Valapattanam	Kannur	Kerala
Vallachira	Thrissur	Kerala
Varam	Kannur	Kerala
Varappuzha	Ernakulam	Kerala
Varkala	Thiruvananthapuram	Kerala
Vazhakkala	Ernakulam	Kerala
Venmanad	Thrissur	Kerala
Villiappally	Kozhikode	Kerala
Amini	Lakshadweep	Lakshadweep *
Kavaratti	Lakshadweep	Lakshadweep *
Minicoy	Lakshadweep	Lakshadweep *
Agar	Shajapur	Madhya Pradesh
Ajaigarh	Panna	Madhya Pradesh
Akoda	Bhind	Madhya Pradesh
Akodia	Shajapur	Madhya Pradesh
Alampur	Bhind	Madhya Pradesh
Alirajpur	Jhabua	Madhya Pradesh
Alot	Ratlam	Madhya Pradesh
Amanganj	Panna	Madhya Pradesh
Amarkantak	Shahdol	Madhya Pradesh
Amarpatan	Satna	Madhya Pradesh
Amarwara	Chhindwara	Madhya Pradesh
Ambada	Chhindwara	Madhya Pradesh
Ambah	Morena	Madhya Pradesh
Amla	Betul	Madhya Pradesh
Amlai	Shahdol	Madhya Pradesh
Anjad	Barwani	Madhya Pradesh
Antari	Gwalior	Madhya Pradesh
Anuppur	Shahdol	Madhya Pradesh
Aron	Guna	Madhya Pradesh
Ashok Nagar	Guna	Madhya Pradesh
Ashta	Sehore	Madhya Pradesh
Babai	Hoshangabad	Madhya Pradesh
Bada Malhera	Chhatarpur	Madhya Pradesh
Badagaon	Tikamgarh	Madhya Pradesh
Badagoan	Shajapur	Madhya Pradesh
Badarwas	Shivpuri	Madhya Pradesh
Badawada	Ratlam	Madhya Pradesh
Badi	Raisen	Madhya Pradesh
Badkuhi	Chhindwara	Madhya Pradesh
Badnagar	Ujjain	Madhya Pradesh
Badnawar	Dhar	Madhya Pradesh
Badod	Shajapur	Madhya Pradesh
Badoda	Sheopur	Madhya Pradesh
Badra	Shahdol	Madhya Pradesh
Bagh	Dhar	Madhya Pradesh
Bagli	Dewas	Madhya Pradesh
Baihar	Balaghat	Madhya Pradesh
Baikunthpur	Rewa	Madhya Pradesh
Balaghat	Balaghat	Madhya Pradesh
Baldeogarh	Tikamgarh	Madhya Pradesh
Bamhani	Mandla	Madhya Pradesh
Bamor	Morena	Madhya Pradesh
Bamora	Sagar	Madhya Pradesh
Banda	Sagar	Madhya Pradesh
Bangawan	Shahdol	Madhya Pradesh
Bansatar Kheda	Damoh	Madhya Pradesh
Baraily	Raisen	Madhya Pradesh
Barela	Jabalpur	Madhya Pradesh
Barghat	Seoni	Madhya Pradesh
Barhi	Katni	Madhya Pradesh
Barigarh	Chhatarpur	Madhya Pradesh
Barwaha	West Nimar	Madhya Pradesh
Barwani	Barwani	Madhya Pradesh
Basoda	Vidisha	Madhya Pradesh
Begamganj	Raisen	Madhya Pradesh
Beohari	Shahdol	Madhya Pradesh
Berasia	Bhopal	Madhya Pradesh
Betma	Indore	Madhya Pradesh
Betul	Betul	Madhya Pradesh
Betul-Bazar	Betul	Madhya Pradesh
Bhainsdehi	Betul	Madhya Pradesh
Bhamodi	Chhindwara	Madhya Pradesh
Bhander	Datia	Madhya Pradesh
Bhanpura	Mandsaur	Madhya Pradesh
Bharveli	Balaghat	Madhya Pradesh
Bhaurasa	Dewas	Madhya Pradesh
Bhavra	Jhabua	Madhya Pradesh
Bhedaghat	Jabalpur	Madhya Pradesh
Bhikangaon	West Nimar	Madhya Pradesh
Bhilakhedi	Hoshangabad	Madhya Pradesh
Bhind	Bhind	Madhya Pradesh
Bhitarwar	Gwalior	Madhya Pradesh
Bhopal	Bhopal	Madhya Pradesh
Biaora	Rajgarh	Madhya Pradesh
Bijawar	Chhatarpur	Madhya Pradesh
Bijeypur	Sheopur	Madhya Pradesh
Bijuri	Shahdol	Madhya Pradesh
Bilaua	Gwalior	Madhya Pradesh
Bilpura	Jabalpur	Madhya Pradesh
Bina Etawa	Sagar	Madhya Pradesh
Bina Rly Colony	Sagar	Madhya Pradesh
Birsinghpur	Satna	Madhya Pradesh
Boda	Rajgarh	Madhya Pradesh
Budhni	Sehore	Madhya Pradesh
Burhanpur	East Nimar	Madhya Pradesh
Burhar	Shahdol	Madhya Pradesh
Buxwaha	Chhatarpur	Madhya Pradesh
Chachaura-Binaganj	Guna	Madhya Pradesh
Chakghat	Rewa	Madhya Pradesh
Chandameta-Butaria	Chhindwara	Madhya Pradesh
Chanderi	Guna	Madhya Pradesh
Chandia	Umaria	Madhya Pradesh
Chandla	Chhatarpur	Madhya Pradesh
Chaurai Khas	Chhindwara	Madhya Pradesh
Chhatarpur	Chhatarpur	Madhya Pradesh
Chhindwara	Chhindwara	Madhya Pradesh
Chhota Chhindwara (Gotegaon)	Narsimhapur	Madhya Pradesh
Chichli	Narsimhapur	Madhya Pradesh
Chitrakoot	Satna	Madhya Pradesh
Churhat	Sidhi	Madhya Pradesh
Daboh	Bhind	Madhya Pradesh
Dabra	Gwalior	Madhya Pradesh
Damoh	Damoh	Madhya Pradesh
Damua	Chhindwara	Madhya Pradesh
Datia	Datia	Madhya Pradesh
Deodara	Mandla	Madhya Pradesh
Deori	Sagar	Madhya Pradesh
Deori	Shahdol	Madhya Pradesh
Depalpur	Indore	Madhya Pradesh
Devendranagar	Panna	Madhya Pradesh
Devhara	Shahdol	Madhya Pradesh
Dewas	Dewas	Madhya Pradesh
Dhamnod	Dhar	Madhya Pradesh
Dhana	Sagar	Madhya Pradesh
Dhanpuri	Shahdol	Madhya Pradesh
Dhar	Dhar	Madhya Pradesh
Dharampuri	Dhar	Madhya Pradesh
Dighawani	Chhindwara	Madhya Pradesh
Diken	Neemuch	Madhya Pradesh
Dindori	Dindori	Madhya Pradesh
Dola	Shahdol	Madhya Pradesh
Dongar Parasia	Chhindwara	Madhya Pradesh
Dumar Kachhar	Shahdol	Madhya Pradesh
G.C.F Jabalpur	Jabalpur	Madhya Pradesh
Gadarwara	Narsimhapur	Madhya Pradesh
Gairatganj	Raisen	Madhya Pradesh
Garhakota	Sagar	Madhya Pradesh
Garhi-Malhara	Chhatarpur	Madhya Pradesh
Garoth	Mandsaur	Madhya Pradesh
Ghansor	Seoni	Madhya Pradesh
Ghuwara	Chhatarpur	Madhya Pradesh
Gogapur	Ujjain	Madhya Pradesh
Gohad	Bhind	Madhya Pradesh
Gormi	Bhind	Madhya Pradesh
Govindgarh	Rewa	Madhya Pradesh
Guna	Guna	Madhya Pradesh
Gurh	Rewa	Madhya Pradesh
Gwalior	Gwalior	Madhya Pradesh
Hanumana	Rewa	Madhya Pradesh
Harda	Harda	Madhya Pradesh
Harpalpur	Chhatarpur	Madhya Pradesh
Harrai	Chhindwara	Madhya Pradesh
Harsud	East Nimar	Madhya Pradesh
Hatod	Indore	Madhya Pradesh
Hatpipalya	Dewas	Madhya Pradesh
Hatta	Damoh	Madhya Pradesh
Hindoria	Damoh	Madhya Pradesh
Hirapur	Balaghat	Madhya Pradesh
Hoshangabad	Hoshangabad	Madhya Pradesh
Ichhawar	Sehore	Madhya Pradesh
Iklehra	Chhindwara	Madhya Pradesh
Indergarh	Datia	Madhya Pradesh
Indore	Indore	Madhya Pradesh
Isagarh	Guna	Madhya Pradesh
Itarsi	Hoshangabad	Madhya Pradesh
Jabalpur	Jabalpur	Madhya Pradesh
Jabalpur Cantt.	Jabalpur	Madhya Pradesh
Jaisinghnagar	Shahdol	Madhya Pradesh
Jaithari	Shahdol	Madhya Pradesh
Jaitwara	Satna	Madhya Pradesh
Jamai	Chhindwara	Madhya Pradesh
Jaora	Ratlam	Madhya Pradesh
Jata Chhapar	Chhindwara	Madhya Pradesh
Jatara	Tikamgarh	Madhya Pradesh
Jawad	Neemuch	Madhya Pradesh
Jawar	Sehore	Madhya Pradesh
Jeron Khalsa	Tikamgarh	Madhya Pradesh
Jhabua	Jhabua	Madhya Pradesh
Jhundpura	Morena	Madhya Pradesh
Jiran	Neemuch	Madhya Pradesh
Jirapur	Rajgarh	Madhya Pradesh
Jobat	Jhabua	Madhya Pradesh
Joura	Morena	Madhya Pradesh
Kailaras	Morena	Madhya Pradesh
Kakarhati	Panna	Madhya Pradesh
Kali Chhapar	Chhindwara	Madhya Pradesh
Kanad	Shajapur	Madhya Pradesh
Kannod	Dewas	Madhya Pradesh
Kantaphod	Dewas	Madhya Pradesh
Kareli	Narsimhapur	Madhya Pradesh
Karera	Shivpuri	Madhya Pradesh
Kari	Tikamgarh	Madhya Pradesh
Karnawad	Dewas	Madhya Pradesh
Karrapur	Sagar	Madhya Pradesh
Kasrawad	West Nimar	Madhya Pradesh
Katangi	Jabalpur	Madhya Pradesh
Katangi	Balaghat	Madhya Pradesh
Kelhauri(chachai)	Shahdol	Madhya Pradesh
Khachrod	Ujjain	Madhya Pradesh
Khajuraho	Chhatarpur	Madhya Pradesh
Khand(Bansagar)	Shahdol	Madhya Pradesh
Khandwa	East Nimar	Madhya Pradesh
Khaniyadhana	Shivpuri	Madhya Pradesh
Khargapur	Tikamgarh	Madhya Pradesh
Khargone	West Nimar	Madhya Pradesh
Khategaon	Dewas	Madhya Pradesh
Khetia	Barwani	Madhya Pradesh
Khilchipur	Rajgarh	Madhya Pradesh
Khirkiya	Harda	Madhya Pradesh
Khujner	Rajgarh	Madhya Pradesh
Khurai	Sagar	Madhya Pradesh
Kolaras	Shivpuri	Madhya Pradesh
Kotar	Satna	Madhya Pradesh
Kothi	Satna	Madhya Pradesh
Kotma	Shahdol	Madhya Pradesh
Kukshi	Dhar	Madhya Pradesh
Kumbhraj	Guna	Madhya Pradesh
Kurwai	Vidisha	Madhya Pradesh
Kymore	Katni	Madhya Pradesh
Lahar	Bhind	Madhya Pradesh
Lakhnadon	Seoni	Madhya Pradesh
Lateri	Vidisha	Madhya Pradesh
Laundi	Chhatarpur	Madhya Pradesh
Lidhorakhas	Tikamgarh	Madhya Pradesh
Lodhikheda	Chhindwara	Madhya Pradesh
Loharda	Dewas	Madhya Pradesh
Machalpur	Rajgarh	Madhya Pradesh
Maharajpur	Chhatarpur	Madhya Pradesh
Maheshwar	West Nimar	Madhya Pradesh
Mahidpur	Ujjain	Madhya Pradesh
Maihar	Satna	Madhya Pradesh
Majholi	Jabalpur	Madhya Pradesh
Makronia	Sagar	Madhya Pradesh
Maksi	Shajapur	Madhya Pradesh
Malaj Khand	Balaghat	Madhya Pradesh
Malhargarh	Mandsaur	Madhya Pradesh
Manasa	Neemuch	Madhya Pradesh
Manawar	Dhar	Madhya Pradesh
Mandav	Dhar	Madhya Pradesh
Mandideep	Raisen	Madhya Pradesh
Mandla	Mandla	Madhya Pradesh
Mandleshwar	West Nimar	Madhya Pradesh
Mandsaur	Mandsaur	Madhya Pradesh
Manegaon	Jabalpur	Madhya Pradesh
Mangawan	Rewa	Madhya Pradesh
Manglaya Sadak	Indore	Madhya Pradesh
Manpur	Indore	Madhya Pradesh
Mau	Bhind	Madhya Pradesh
Mauganj	Rewa	Madhya Pradesh
Meghnagar	Jhabua	Madhya Pradesh
Mehara Gaon	Hoshangabad	Madhya Pradesh
Mehgaon	Bhind	Madhya Pradesh
Mhow Cantt.	Indore	Madhya Pradesh
Mhowgaon	Indore	Madhya Pradesh
Mihona	Bhind	Madhya Pradesh
Mohgaon	Chhindwara	Madhya Pradesh
Morar Cantt.	Gwalior	Madhya Pradesh
Morena	Morena	Madhya Pradesh
Multai	Betul	Madhya Pradesh
Mundi	East Nimar	Madhya Pradesh
Mungaoli	Guna	Madhya Pradesh
Murwara (Katni)	Katni	Madhya Pradesh
Nagda	Ujjain	Madhya Pradesh
Nagod	Satna	Madhya Pradesh
Nagri	Mandsaur	Madhya Pradesh
Nai Garhi	Rewa	Madhya Pradesh
Nainpur	Mandla	Madhya Pradesh
Nalkheda	Shajapur	Madhya Pradesh
Namli	Ratlam	Madhya Pradesh
Narayangarh	Mandsaur	Madhya Pradesh
Narsimhapur	Narsimhapur	Madhya Pradesh
Narsinghgarh	Rajgarh	Madhya Pradesh
Narwar	Shivpuri	Madhya Pradesh
Nasrullaganj	Sehore	Madhya Pradesh
Naudhia	Sidhi	Madhya Pradesh
Neemuch	Neemuch	Madhya Pradesh
Nepanagar	East Nimar	Madhya Pradesh
Neuton Chikhli Kalan	Chhindwara	Madhya Pradesh
Niwari	Tikamgarh	Madhya Pradesh
Nowgaon	Chhatarpur	Madhya Pradesh
Nowrozabad(Khodargama)	Umaria	Madhya Pradesh
O.F.Khamaria	Jabalpur	Madhya Pradesh
Obedullaganj	Raisen	Madhya Pradesh
Omkareshwar	East Nimar	Madhya Pradesh
Orachha	Tikamgarh	Madhya Pradesh
Ordinance Factory Itarsi	Hoshangabad	Madhya Pradesh
Pachmarhi Cantt	Hoshangabad	Madhya Pradesh
Pachore	Rajgarh	Madhya Pradesh
Pal Chourai	Chhindwara	Madhya Pradesh
Palda	Indore	Madhya Pradesh
Palera	Tikamgarh	Madhya Pradesh
Pali	Umaria	Madhya Pradesh
Panagar	Jabalpur	Madhya Pradesh
Panara	Chhindwara	Madhya Pradesh
Pandhana	East Nimar	Madhya Pradesh
Pandhurna	Chhindwara	Madhya Pradesh
Panna	Panna	Madhya Pradesh
Pansemal	Barwani	Madhya Pradesh
Pasan	Shahdol	Madhya Pradesh
Patan	Jabalpur	Madhya Pradesh
Patharia	Damoh	Madhya Pradesh
Pawai	Panna	Madhya Pradesh
Petlawad	Jhabua	Madhya Pradesh
Phuphkalan	Bhind	Madhya Pradesh
Pichhore	Gwalior	Madhya Pradesh
Pichhore	Shivpuri	Madhya Pradesh
Pipariya	Hoshangabad	Madhya Pradesh
Pipariya	Jabalpur	Madhya Pradesh
Piploda	Ratlam	Madhya Pradesh
Piplya Mandi	Mandsaur	Madhya Pradesh
Pithampur	Dhar	Madhya Pradesh
Polay Kalan	Shajapur	Madhya Pradesh
Porsa	Morena	Madhya Pradesh
Prithvipur	Tikamgarh	Madhya Pradesh
Raghogarh -Vijaypur	Guna	Madhya Pradesh
Rahatgarh	Sagar	Madhya Pradesh
Raisen	Raisen	Madhya Pradesh
Rajakhedi	Sagar	Madhya Pradesh
Rajgarh	Dhar	Madhya Pradesh
Rajgarh	Rajgarh	Madhya Pradesh
Rajnagar	Chhatarpur	Madhya Pradesh
Rajpur	Barwani	Madhya Pradesh
Rampur Baghelan	Satna	Madhya Pradesh
Rampur Naikin	Sidhi	Madhya Pradesh
Rampura	Neemuch	Madhya Pradesh
Ranapur	Jhabua	Madhya Pradesh
Ratangarh	Neemuch	Madhya Pradesh
Ratlam	Ratlam	Madhya Pradesh
Ratlam Rly. Colony (Ratlam Kasba)	Ratlam	Madhya Pradesh
Rau	Indore	Madhya Pradesh
Rehli	Sagar	Madhya Pradesh
Rehti	Sehore	Madhya Pradesh
Rewa	Rewa	Madhya Pradesh
Runji Gautampura	Indore	Madhya Pradesh
Sabalgarh	Morena	Madhya Pradesh
Sagar	Sagar	Madhya Pradesh
Sagar Cantt.	Sagar	Madhya Pradesh
Sailana	Ratlam	Madhya Pradesh
Sanawad	West Nimar	Madhya Pradesh
Sanchi	Raisen	Madhya Pradesh
Sarangpur	Rajgarh	Madhya Pradesh
Sardarpur	Dhar	Madhya Pradesh
Sarni	Betul	Madhya Pradesh
Satai	Chhatarpur	Madhya Pradesh
Satna	Satna	Madhya Pradesh
